,lat,lon,city,style,building_type,cooling_type,heating_type,price,number_of_beds,number_of_baths,extra_space,fire_place
381,43.8563707,-79.3376825,Markham,Detached,House,Central air conditioning,Forced air,1099990.0,3,4,0,0
383,43.835765,-79.090576,Pickering,Detached,House,Central air conditioning,Forced air,1099000.0,3,4,0,1
384,44.056258,-79.461708,Newmarket,Semi-Detached,House,Central air conditioning,Forced air,1099000.0,3,4,1,1
385,44.056258,-79.461708,Newmarket,Townhouse,Row / Townhouse,Central air conditioning,Forced air,1098000.0,3,3,0,0
386,43.6858146,-79.7599337,Brampton,Detached,House,Central air conditioning,Forced air,1095000.0,3,2,1,1
388,45.3917725,-76.1883413,Kinburn,Detached,House,Central air conditioning,Forced air,999999.0,3,2,0,0
389,43.3248924,-79.7966835,Burlington,Detached,House,Central air conditioning,Forced air,999905.0,4,3,0,0
391,43.1579812,-79.2441003,St. Catharines,Detached,House,Central air conditioning,Forced air,999000.0,4,3,1,0
392,43.657016,-79.338932,Toronto,Townhouse,Row / Townhouse,Central air conditioning,Forced air,999000.0,3,3,0,0
393,43.7941544,-79.5268023,Vaughan,Townhouse,Row / Townhouse,Central air conditioning,Forced air,999000.0,3,4,0,0
394,44.014469,-79.323704,Whitchurch-Stouffville,Detached,House,Central air conditioning,Forced air,999000.0,4,4,1,0
395,43.5896231,-79.6443879,Mississauga,Semi-Detached,House,Central air conditioning,Forced air,999000.0,3,4,1,0
396,43.731742,-79.262514,Toronto,Detached,House,Central air conditioning,Baseboard heaters,999000.0,3,2,1,0
397,43.87982,-78.9421751,Whitby,Detached,House,Central air conditioning,Forced air,999000.0,4,3,0,1
398,43.5896231,-79.6443879,Mississauga,Detached,House,Central air conditioning,Forced air,999000.0,4,3,1,1
399,43.5896231,-79.6443879,Mississauga,Detached,House,Wall unit,Forced air,999000.0,2,1,0,1
400,43.5896231,-79.6443879,Mississauga,Townhouse,Row / Townhouse,Central air conditioning,Forced air,998900.0,3,4,0,1
401,43.835765,-79.090576,Pickering,Detached,House,Central air conditioning,Forced air,998700.0,3,3,1,1
402,43.6858146,-79.7599337,Brampton,Semi-Detached,House,Central air conditioning,Forced air,998000.0,3,3,0,0
403,43.451291,-80.4927815,Kitchener,Detached,House,Central air conditioning,Radiant heat,995000.0,3,3,0,1
404,43.87982,-78.9421751,Whitby,Detached,House,Central air conditioning,Forced air,995000.0,3,3,0,0
405,43.6858146,-79.7599337,Brampton,Detached,House,Central air conditioning,Forced air,988000.0,3,3,0,0
406,43.96868585,-78.65135738273909,Clarington,Detached,House,Central air conditioning,Forced air,974900.0,4,3,0,1
408,44.3893113,-79.6901736,Barrie,Detached,House,Central air conditioning,Forced air,949900.0,2,3,1,1
409,44.5445701,-79.54891085886374,Oro-Medonte,Detached,House,Central air conditioning,Forced air,949000.0,3,3,1,1
410,43.71351605,-80.3920235,Fergus,Detached,House,Central air conditioning,Forced air,939900.0,4,3,0,1
411,43.621861,-79.943877,Halton Hills,Detached,House,Central air conditioning,Forced air,934900.0,3,3,1,0
412,43.8563707,-79.3376825,Markham,Townhouse,Row / Townhouse,Central air conditioning,Forced air,928000.0,2,3,0,1
413,43.1301111,-80.7562977,Woodstock,Detached,House,Central air conditioning,Forced air,915000.0,2,3,1,1
414,43.5460516,-80.2493276,Guelph,Detached,House,Central air conditioning,Forced air,899999.0,4,4,1,0
415,43.5460516,-80.2493276,Guelph,Detached,House,Central air conditioning,Forced air,899999.0,4,4,1,0
416,43.687783,-79.450978,Toronto,Detached,House,Central air conditioning,Forced air,899900.0,2,1,1,0
417,43.64877,-79.38171,Toronto,Townhouse,Row / Townhouse,Central air conditioning,Forced air,899900.0,2,3,1,0
418,43.5460516,-80.2493276,Guelph,Detached,House,Central air conditioning,Forced air,899900.0,3,4,1,0
419,43.690678,-79.313802,Toronto,Detached,House,Wall unit,Forced air,899000.0,2,2,0,0
420,43.2560802,-79.8728583,Hamilton,Detached,House,Central air conditioning,Forced air,899000.0,3,3,0,1
421,43.2167526,-79.7567616,Stoney Creek,Detached,House,Central air conditioning,Forced air,899000.0,3,3,0,0
422,44.83187403333333,-79.7367417,Georgian Bay,Detached,House,Central air conditioning,Forced air,898999.0,3,3,0,1
423,43.8801166,-79.4392925,Richmond Hill,Townhouse,Row / Townhouse,Central air conditioning,Forced air,898000.0,4,2,1,0
425,43.835765,-79.090576,Pickering,Detached,House,Central air conditioning,Forced air,875000.0,3,3,0,1
426,44.210386,-77.306575,Belleville,Detached,House,Central air conditioning,Forced air,855900.0,3,3,1,1
427,43.676479,-79.481669,Toronto,Semi-Detached,House,Central air conditioning,Forced air,849900.0,3,2,1,0
428,45.4208777,-75.6901106,Ottawa,Detached,House,Central air conditioning,Forced air,849900.0,3,2,0,0
429,45.2550212,-75.1221013,St Albert,Detached,House,Central air conditioning,Forced air,849900.0,3,3,1,0
430,43.513671,-79.882817,Milton,Townhouse,Row / Townhouse,Central air conditioning,Forced air,839000.0,3,3,0,0
431,43.87982,-78.9421751,Whitby,Detached,House,Central air conditioning,Forced air,800000.0,3,2,0,1
432,43.3248924,-79.7966835,Burlington,Townhouse,Row / Townhouse,Central air conditioning,Heat Pump,799999.0,2,2,1,1
433,42.3117951,-82.8861974,Tecumseh,Detached,House,Central air conditioning,Forced air,799900.0,5,4,1,0
434,42.2450635,-83.0606534,LaSalle,Semi-Detached,Row / Townhouse,Central air conditioning,Forced air,799900.0,2,3,1,0
